               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040587,            0.012663,            0.050927,             0.19931,             0.27095,             0.24229,             0.17156,            0.021404,           0.0097518,            0.037977,            0.008845,            0.008845,            0.008845
                  37,            0.037454,            0.012159,            0.052104,             0.15883,             0.36907,             0.33099,             0.21172,            0.017667,           0.0061387,            0.036949,            0.008812,            0.008812,            0.008812
                  38,             0.03956,            0.013047,            0.054916,             0.24425,             0.42712,             0.37208,             0.23173,            0.016718,           0.0056561,            0.036469,            0.008779,            0.008779,            0.008779
                  39,            0.039139,            0.010831,            0.049519,             0.23503,             0.42006,             0.36395,             0.21083,             0.02159,           0.0055618,             0.03626,            0.008746,            0.008746,            0.008746
                  40,            0.041987,            0.012291,            0.052141,              0.2953,             0.42535,             0.38363,             0.26339,             0.01714,           0.0054129,            0.035865,            0.008713,            0.008713,            0.008713
                  41,            0.034812,            0.011546,             0.05208,             0.24099,             0.27066,              0.2545,             0.17318,            0.021561,           0.0086387,            0.037757,             0.00868,             0.00868,             0.00868
                  42,            0.041085,            0.012691,            0.055764,             0.35321,             0.31406,             0.34233,             0.23499,            0.018208,           0.0064364,            0.036913,            0.008647,            0.008647,            0.008647
                  43,             0.03453,            0.011696,            0.047237,             0.48013,             0.40301,             0.41288,             0.28189,            0.016888,           0.0057982,            0.035454,            0.008614,            0.008614,            0.008614
                  44,            0.033709,            0.011653,            0.049532,             0.41368,             0.48614,             0.42532,             0.29473,             0.01605,           0.0055131,            0.034897,            0.008581,            0.008581,            0.008581
                  45,            0.034327,            0.012053,             0.05374,             0.49756,             0.45093,             0.42638,             0.28388,            0.016773,           0.0052553,            0.034811,            0.008548,            0.008548,            0.008548
                  46,             0.03349,            0.010709,            0.051419,             0.42125,             0.51277,             0.43397,             0.26824,            0.018746,           0.0052638,            0.034572,            0.008515,            0.008515,            0.008515
                  47,            0.037157,            0.011641,            0.047453,              0.3257,             0.55093,             0.43714,             0.30941,            0.015806,           0.0053324,            0.034235,            0.008482,            0.008482,            0.008482
                  48,            0.035248,            0.012197,            0.052278,             0.47502,             0.58347,             0.46829,             0.30723,            0.017554,           0.0051085,              0.0335,            0.008449,            0.008449,            0.008449
                  49,            0.033497,            0.011871,            0.051402,              0.4159,             0.60965,             0.50138,               0.341,            0.014739,           0.0048928,            0.032963,            0.008416,            0.008416,            0.008416
                  50,            0.037201,            0.012269,             0.04897,             0.37994,             0.62182,             0.49313,             0.34654,            0.014471,           0.0052509,            0.032668,            0.008383,            0.008383,            0.008383
                  51,            0.030513,            0.010922,            0.043584,             0.32588,             0.69932,             0.46753,              0.3183,            0.016518,           0.0050721,            0.032657,             0.00835,             0.00835,             0.00835
                  52,            0.039649,            0.011112,            0.048605,             0.31353,             0.59948,             0.43729,             0.28654,            0.018557,             0.00526,            0.032505,            0.008317,            0.008317,            0.008317
                  53,              0.0406,             0.01226,            0.050924,             0.33302,             0.54567,             0.48464,             0.33635,            0.014993,           0.0051736,            0.031919,            0.008284,            0.008284,            0.008284
                  54,            0.033235,             0.01048,            0.047738,             0.27022,             0.47974,             0.47654,             0.31615,            0.018335,           0.0049889,            0.031539,            0.008251,            0.008251,            0.008251
                  55,            0.032397,            0.010293,            0.048925,             0.31911,             0.55516,             0.50244,             0.34631,            0.021133,           0.0048582,            0.031662,            0.008218,            0.008218,            0.008218
                  56,            0.032826,           0.0099603,            0.047172,             0.47577,             0.50827,             0.50558,             0.37004,            0.015288,           0.0049159,            0.031358,            0.008185,            0.008185,            0.008185
                  57,            0.035692,            0.011841,            0.045849,             0.39587,             0.53784,             0.51521,             0.35749,            0.017172,           0.0054039,            0.031436,            0.008152,            0.008152,            0.008152
                  58,            0.040351,             0.01053,             0.04031,             0.46028,              0.5383,             0.53651,             0.36761,             0.01819,           0.0050418,            0.031529,            0.008119,            0.008119,            0.008119
                  59,             0.03307,            0.010678,            0.043949,             0.34156,             0.56633,             0.54627,             0.36712,            0.017415,           0.0051513,            0.031074,            0.008086,            0.008086,            0.008086
                  60,            0.031672,            0.010889,             0.04505,              0.3702,             0.55308,              0.5203,             0.38195,            0.015171,           0.0052308,            0.030952,            0.008053,            0.008053,            0.008053
                  61,            0.037643,            0.011657,            0.048358,             0.49878,             0.57167,             0.56358,             0.42069,            0.016201,           0.0048209,            0.030253,             0.00802,             0.00802,             0.00802
                  62,             0.03619,            0.010381,            0.045788,             0.46727,             0.58165,             0.56629,             0.39986,            0.015994,           0.0049339,             0.02988,            0.007987,            0.007987,            0.007987
                  63,            0.034278,            0.011103,            0.043565,             0.38469,             0.60885,             0.55758,             0.36435,            0.018729,           0.0048141,            0.029503,            0.007954,            0.007954,            0.007954
                  64,            0.033706,            0.011555,            0.042499,             0.41074,             0.59632,             0.52514,             0.36803,            0.018497,           0.0048617,             0.02936,            0.007921,            0.007921,            0.007921
                  65,            0.031952,            0.011216,            0.046985,             0.61392,             0.64861,             0.54426,             0.40853,            0.013494,           0.0047049,             0.02987,            0.007888,            0.007888,            0.007888
                  66,            0.032813,            0.011034,            0.045574,              0.4221,             0.70467,              0.5697,             0.39385,            0.015675,           0.0049468,            0.029217,            0.007855,            0.007855,            0.007855
                  67,            0.028846,            0.010249,            0.042772,             0.46546,             0.73911,             0.59401,             0.42251,            0.014504,           0.0050321,             0.02887,            0.007822,            0.007822,            0.007822
                  68,            0.030675,            0.010251,            0.044234,             0.55201,              0.7256,             0.58539,             0.43386,            0.014711,           0.0046174,            0.028226,            0.007789,            0.007789,            0.007789
                  69,            0.033228,            0.010299,            0.039512,             0.58436,             0.70755,             0.58169,             0.42465,             0.01434,           0.0044036,            0.027665,            0.007756,            0.007756,            0.007756
                  70,            0.031525,            0.010805,             0.04028,             0.58608,             0.70177,             0.59431,             0.40378,            0.014804,           0.0045671,            0.027118,            0.007723,            0.007723,            0.007723
                  71,            0.029619,            0.011325,            0.037506,             0.59826,             0.64121,             0.61882,              0.4612,            0.013953,           0.0044853,            0.026511,             0.00769,             0.00769,             0.00769
                  72,            0.032809,            0.010174,            0.041658,             0.60005,              0.6608,             0.61742,             0.43338,             0.01462,           0.0044134,             0.02667,            0.007657,            0.007657,            0.007657
                  73,            0.029857,            0.011016,            0.039685,             0.66369,             0.64167,              0.6231,             0.43269,            0.017641,           0.0045878,            0.026232,            0.007624,            0.007624,            0.007624
                  74,             0.02823,           0.0098267,            0.044838,             0.44517,             0.75648,              0.6111,             0.43326,            0.015491,           0.0046583,            0.025776,            0.007591,            0.007591,            0.007591
                  75,            0.035473,            0.010483,            0.038917,             0.39092,             0.69266,             0.60397,             0.43395,            0.014995,           0.0044506,            0.025597,            0.007558,            0.007558,            0.007558
                  76,            0.030639,            0.011253,            0.043993,             0.62145,             0.69352,             0.61842,              0.4813,            0.012142,           0.0042112,            0.025065,            0.007525,            0.007525,            0.007525
                  77,            0.033471,            0.011137,            0.040374,             0.64759,             0.63846,              0.6344,             0.46202,            0.014387,           0.0041407,            0.024725,            0.007492,            0.007492,            0.007492
                  78,            0.034054,            0.011704,            0.038678,             0.60521,             0.67071,             0.64795,             0.45982,            0.015191,           0.0041814,            0.025241,            0.007459,            0.007459,            0.007459
                  79,            0.036436,           0.0096384,            0.036624,             0.61477,              0.6322,             0.62633,             0.46471,             0.01457,           0.0043444,            0.025101,            0.007426,            0.007426,            0.007426
